NO_OF_SAMPLES	24000
FREQUENCY	1200
TIME_STAMP	2020-01-28, 14:27:43.885	5208.83582520
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11053M
FORCE_PLATE_CORNER_POSX_POSY_X	353.011101
FORCE_PLATE_CORNER_POSX_POSY_Y	1295.030594
FORCE_PLATE_CORNER_POSX_POSY_Z	-2.601500
FORCE_PLATE_CORNER_NEGX_POSY_X	747.085989
FORCE_PLATE_CORNER_NEGX_POSY_Y	1294.596434
FORCE_PLATE_CORNER_NEGX_POSY_Z	-2.692300
FORCE_PLATE_CORNER_NEGX_NEGY_X	746.431708
FORCE_PLATE_CORNER_NEGX_NEGY_Y	700.785577
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-2.136100
FORCE_PLATE_CORNER_POSX_NEGY_X	352.357000
FORCE_PLATE_CORNER_POSX_NEGY_Y	701.219738
FORCE_PLATE_CORNER_POSX_NEGY_Z	-2.045300
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
41	0.03333	-3.594360	-4.114746	-11.903809	-2.378052	-2.191528	-1.524963	-184.103122	199.772345	0.000000	
42	0.03417	-3.146362	-4.387451	-14.083008	-2.546387	-2.068726	-1.599060	-146.895153	180.812704	0.000000	
43	0.03500	-3.593994	-4.564209	-15.166016	-2.452271	-2.294800	-1.654602	-151.311977	161.695106	0.000000	
44	0.03583	-3.415649	-4.206055	-12.268066	-2.640259	-2.184570	-1.524902	-178.069652	215.213930	0.000000	
45	0.03667	-3.415405	-4.295898	-12.992676	-2.416382	-1.939026	-1.599243	-149.239919	185.980307	0.000000	
46	0.03750	-3.861572	-4.112549	-13.352539	-2.556152	-2.060425	-1.561829	-154.309588	191.435676	0.000000	
47	0.03833	-3.058838	-4.298584	-11.545410	-2.370972	-2.031616	-1.674072	-175.967435	205.360541	0.000000	
48	0.03917	-3.238037	-4.387451	-11.905273	-2.412109	-2.108032	-1.562195	-177.067099	202.608482	0.000000	
49	0.04000	-3.770142	-3.933105	-14.080566	-2.386230	-2.337036	-1.561768	-165.976003	169.469778	0.000000	
50	0.04083	-3.503052	-4.384766	-15.530762	-2.282104	-2.011108	-1.561340	-129.491936	146.940925	0.000000	
51	0.04167	-3.685181	-4.384277	-12.263672	-2.589478	-2.159424	-1.655273	-176.082975	211.150263	0.000000	
52	0.04250	-3.325562	-4.026855	-11.544922	-2.557861	-2.041626	-1.543579	-176.841905	221.557266	0.000000	
